_id,latest_count_id,latest_count_date,location_name,longitude,latitude,centreline_type,centreline_id,px,count_duration,total_vehicle,total_bike,total_heavy_pct,total_pedestrian,am_peak_start,am_peak_vehicle,am_peak_bike,am_peak_heavy_pct,pm_peak_start,pm_peak_vehicle,pm_peak_bike,pm_peak_heavy_pct,n_appr_vehicle,n_appr_bike,n_appr_heavy_pct,e_appr_vehicle,e_appr_bike,e_appr_heavy_pct,s_appr_vehicle,s_appr_bike,s_appr_heavy_pct,w_appr_vehicle,w_appr_bike,w_appr_heavy_pct
1,111841,2025-03-01,Sheppard Ave E / Rean Dr / Hawksbury Dr,-79.3831395436116,43.7678037879016,2,13447758,742,14,27074,9,0.006,1345,2025-03-01T09:15:00,1824,0,0.011,2025-03-01T14:00:00,2717,0,0.006,2966,2,0.002,10527,4,0.008,2582,1,0.003,10999,2,0.007
2,111826,2025-02-26,Victoria Park Ave / Elvaston Dr,-79.3049995792012,43.7303842449904,2,13453216,514,14,22407,47,0.045,574,2025-02-26T08:15:00,2095,1,0.048,2025-02-26T16:30:00,2123,2,0.029,10996,22,0.047,0,0,0,10320,21,0.045,1091,4,0.016
3,111825,2025-02-26,O'Connor Dr / Sunrise Ave,-79.3044738575295,43.718922174149,2,13454909,520,14,17349,39,0.038,990,2025-02-26T08:15:00,1501,3,0.046,2025-02-26T16:45:00,1629,1,0.025,6089,17,0.041,2734,5,0.03,6421,10,0.037,2105,7,0.046
4,111824,2025-02-26,St Clair Ave E / Squires Ave,-79.300776766717,43.7080855203534,2,13456666,,14,18473,27,0.035,361,2025-02-26T08:30:00,1511,0,0.044,2025-02-26T14:15:00,1527,2,0.036,264,2,0.015,9175,12,0.03,418,2,0.014,8616,11,0.041
5,111833,2025-02-26,Danforth Ave / Victoria Park Ave,-79.2883586076965,43.6912323377323,2,13459445,355,14,30133,335,0.041,9148,2025-02-26T07:45:00,2203,7,0.053,2025-02-26T17:00:00,2731,38,0.022,6763,42,0.042,8433,190,0.038,7505,29,0.042,7432,74,0.042
6,111831,2025-02-26,Sloane Ave / Elvaston Dr,-79.3097070663045,43.7300142263434,2,13453274,,14,5457,9,0.031,845,2025-02-26T08:15:00,557,0,0.039,2025-02-26T16:00:00,495,0,0.026,2520,7,0.029,695,1,0.013,2100,1,0.039,142,0,0.042
7,111830,2025-02-26,Lawrence Ave E / Carnforth Rd,-79.3141824246492,43.7415034069582,2,13451515,932,14,40332,26,0.036,1424,2025-02-26T08:00:00,3274,3,0.042,2025-02-26T15:45:00,3535,2,0.028,3288,1,0.005,18254,6,0.04,3538,11,0.037,15252,8,0.038
8,111827,2025-02-26,Victoria Park Ave / Ruscica Dr / Innismore Cres,-79.3067604038284,43.7346585616632,2,13452586,,14,24120,37,0.042,539,2025-02-26T07:45:00,2136,2,0.056,2025-02-26T16:30:00,2397,2,0.024,12426,18,0.043,298,4,0.027,11078,15,0.042,318,0,0.022
9,111829,2025-02-26,Victoria Park Ave / Sweeney Dr,-79.3076512076226,43.7368247325672,2,13452245,,14,22823,10,0.041,268,2025-02-26T07:45:00,1995,0,0.053,2025-02-26T16:15:00,2066,0,0.03,11626,4,0.042,47,0,0.021,10348,5,0.041,802,1,0.022
10,111774,2025-02-25,St Clair Ave E / Glenburn Ave,-79.2983199976724,43.7086439262411,2,13456553,,14,18669,17,0.032,344,2025-02-25T08:00:00,1558,0,0.031,2025-02-25T17:15:00,1577,2,0.013,245,1,0.016,9243,7,0.028,474,1,0.046,8707,8,0.036
11,111839,2025-02-25,Kingston Rd / Raspberry Rd,-79.1422574229491,43.8014428345676,2,13443053,,14,23288,8,0.018,222,2025-02-25T07:30:00,1910,1,0.019,2025-02-25T16:30:00,2365,1,0.012,293,0,0.027,11467,6,0.017,17,0,0.588,11511,2,0.019
12,111845,2025-02-25,Lawrence Ave E / Gooderham Dr,-79.3022189018959,43.7437688567075,2,13451117,,14,29536,35,0.038,558,2025-02-25T08:30:00,2130,2,0.044,2025-02-25T16:30:00,2577,2,0.024,340,0,0.021,16512,12,0.036,311,1,0.023,12373,22,0.041
13,111843,2025-02-25,Eglinton Ave E / Hoyle Ave,-79.3796142236137,43.7105468340058,2,13456432,768,14,20414,27,0.06,1186,2025-02-25T08:00:00,1842,0,0.062,2025-02-25T16:45:00,1930,4,0.04,3,0,0,10752,18,0.06,175,3,0.017,9484,6,0.061
14,111773,2025-02-25,St Clair Ave E / Hodder St,-79.3079709370872,43.7064773972797,2,13456930,,14,14054,11,0.038,238,2025-02-25T07:30:00,1182,0,0.025,2025-02-25T17:15:00,1157,4,0.012,85,1,0.082,7395,8,0.037,0,0,0,6574,2,0.038
15,111772,2025-02-25,St Clair Ave E / Westview Blvd,-79.3101275470043,43.7059993779728,2,13456996,,14,16967,29,0.035,350,2025-02-25T07:45:00,1416,2,0.025,2025-02-25T17:45:00,1443,2,0.014,392,6,0.026,8638,14,0.034,0,0,0,7937,9,0.035
16,111759,2025-02-25,Spruce St / Parliament St,-79.3675438346074,43.6632063279982,2,13464595,,14,10402,654,0.057,5694,2025-02-25T08:30:00,945,23,0.071,2025-02-25T16:45:00,868,69,0.04,5280,270,0.055,338,49,0.068,4784,324,0.058,0,11,0
17,111751,2025-02-25,College St / Manning Ave,-79.4126049332269,43.6554653490495,2,13465935,,14,11866,1358,0.025,5444,2025-02-25T08:30:00,1151,90,0.03,2025-02-25T17:30:00,1008,189,0.015,1161,86,0.055,5429,614,0.02,15,33,0.4,5261,625,0.022
18,111789,2025-02-11,Ashtonbee Rd / Pharmacy Ave,-79.2986154705956,43.7285237278064,2,13453497,1295,14,26134,28,0.027,664,2025-02-11T08:15:00,1892,2,0.04,2025-02-11T15:45:00,2484,3,0.027,8704,12,0.027,6596,4,0.021,10785,9,0.031,49,3,0
19,111788,2025-02-11,Victoria Park Ave / Craigton Dr / Jonesville Cres,-79.3034709383443,43.7266867097974,2,13453844,202,14,23884,39,0.045,782,2025-02-11T07:45:00,2018,0,0.053,2025-02-11T16:30:00,2096,6,0.029,11476,15,0.041,2209,8,0.019,9380,13,0.059,819,3,0.02
20,111787,2025-02-11,Victoria Park Ave / Eglinton Sq / O'Connor Dr,-79.3021002856885,43.7233809795397,2,13454288,449,14,34526,38,0.044,3028,2025-02-11T08:00:00,3206,1,0.053,2025-02-11T16:45:00,2851,2,0.026,11822,13,0.054,4577,5,0.038,9626,10,0.043,8501,10,0.036
21,111786,2025-02-11,Denton Ave / Pharmacy Ave,-79.2840728900829,43.6939405791206,2,13458925,1294,14,10228,95,0.041,1904,2025-02-11T08:15:00,960,2,0.052,2025-02-11T17:00:00,1095,10,0.021,3989,41,0.042,1686,17,0.026,2529,22,0.03,2024,15,0.065
